Cap_do,Cap_up,demand_th,demand_el,pv,wind
0.029,0.167,0.267,0.827,0.018,0.326
0.036,0.059,0.266,0.804,0.014,0.326
0.013,0.252,0.27,0.787,0.007,0.326
0.068,0.18,0.279,0.783,0.002,0.326
0.03,0.19,0.29,0.801,0.0,0.326
0.041,0.098,0.306,0.842,0.0,0.183
0.057,0.115,0.319,0.835,0.0,0.081
0.031,0.01,0.308,0.807,0.0,0.183
0.023,0.059,0.287,0.765,0.0,0.325
0.007,0.231,0.246,0.75,0.0,0.325
0.046,0.026,0.177,0.757,0.0,0.325
0.056,0.026,0.17,0.719,0.0,0.183
0.042,0.021,0.147,0.685,0.0,0.183
0.0,0.012,0.15,0.657,0.0,0.081
0.017,0.039,0.157,0.639,0.0,0.081
0.037,0.02,0.174,0.626,0.0,0.081
0.009,0.006,0.218,0.619,0.0,0.081
0.02,0.025,0.299,0.603,0.0,0.029
0.005,0.017,0.354,0.582,0.0,0.029
0.114,0.018,0.332,0.616,0.0,0.005
0.048,0.154,0.306,0.668,0.005,0.005
0.069,0.191,0.285,0.707,0.016,0.005
0.034,0.301,0.263,0.733,0.027,0.0
0.042,0.158,0.25,0.751,0.027,0.005
0.006,0.162,0.244,0.749,0.03,0.005
0.012,0.133,0.244,0.732,0.026,0.0
0.022,0.199,0.247,0.717,0.021,0.0
0.022,0.041,0.254,0.72,0.007,0.005
0.044,0.252,0.268,0.744,0.0,0.0
0.013,0.055,0.286,0.795,0.0,0.0
0.032,0.258,0.297,0.792,0.0,0.0
0.008,0.123,0.284,0.761,0.0,0.005
0.016,0.224,0.263,0.716,0.0,0.005
0.052,0.211,0.218,0.702,0.0,0.005
0.03,0.019,0.151,0.717,0.0,0.005
0.066,0.011,0.144,0.688,0.0,0.0
0.013,0.036,0.124,0.652,0.0,0.005
0.018,0.023,0.126,0.617,0.0,0.0
0.014,0.044,0.132,0.594,0.0,0.0
0.063,0.004,0.147,0.585,0.0,0.005
0.031,0.013,0.183,0.573,0.0,0.005
0.029,0.007,0.252,0.551,0.0,0.029
0.037,0.021,0.298,0.513,0.0,0.0
0.115,0.007,0.279,0.525,0.0,0.0
0.127,0.149,0.258,0.559,0.005,0.0
0.071,0.241,0.24,0.608,0.016,0.0
0.058,0.226,0.221,0.647,0.027,0.0
0.146,0.075,0.211,0.689,0.055,0.0
0.099,0.198,0.205,0.684,0.035,0.005
0.002,0.051,0.205,0.656,0.044,0.0
0.049,0.272,0.208,0.638,0.023,0.0
0.045,0.271,0.214,0.631,0.007,0.005
0.017,0.248,0.225,0.66,0.0,0.005
0.01,0.054,0.241,0.734,0.0,0.005
0.047,0.032,0.25,0.757,0.0,0.0
0.026,0.125,0.239,0.747,0.0,0.005
0.016,0.161,0.221,0.715,0.0,0.005
0.006,0.094,0.184,0.716,0.0,0.005
0.02,0.005,0.127,0.736,0.0,0.0
0.02,0.005,0.121,0.7,0.0,0.0
0.046,0.029,0.166,0.667,0.0,0.0
0.145,0.021,0.17,0.645,0.0,0.0
0.005,0.024,0.177,0.633,0.0,0.0
0.032,0.032,0.19,0.63,0.0,0.005
0.026,0.039,0.224,0.637,0.0,0.0
0.022,0.007,0.296,0.671,0.0,0.0
0.04,0.013,0.347,0.738,0.0,0.0
0.088,0.019,0.335,0.854,0.0,0.0
0.112,0.112,0.316,0.886,0.005,0.005
0.084,0.209,0.298,0.885,0.014,0.0
0.08,0.099,0.277,0.893,0.023,0.0
0.04,0.055,0.264,0.901,0.032,0.0
0.055,0.249,0.256,0.897,0.035,0.0
0.018,0.193,0.255,0.893,0.023,0.0
0.014,0.084,0.259,0.881,0.014,0.0
0.027,0.217,0.268,0.874,0.005,0.0
0.031,0.063,0.278,0.883,0.0,0.0
0.011,0.246,0.293,0.934,0.0,0.005
0.041,0.219,0.306,0.929,0.0,0.0
0.026,0.027,0.295,0.907,0.0,0.0
0.009,0.278,0.275,0.863,0.0,0.0
0.019,0.184,0.236,0.836,0.0,0.0
0.03,0.027,0.169,0.825,0.0,0.0
0.041,0.015,0.163,0.782,0.0,0.005
0.021,0.008,0.115,0.751,0.0,0.005
0.026,0.006,0.118,0.736,0.0,0.0
0.035,0.03,0.123,0.726,0.0,0.0
0.018,0.031,0.137,0.716,0.0,0.0
0.003,0.043,0.171,0.717,0.0,0.0
0.035,0.043,0.235,0.719,0.0,0.0
0.022,0.04,0.278,0.791,0.0,0.0
0.046,0.037,0.261,0.881,0.0,0.0
0.026,0.233,0.241,0.905,0.005,0.005
0.051,0.182,0.224,0.897,0.014,0.0
0.054,0.133,0.207,0.904,0.018,0.0
0.039,0.143,0.197,0.912,0.021,0.005
0.054,0.064,0.191,0.908,0.018,0.005
0.055,0.125,0.192,0.902,0.014,0.0
0.049,0.297,0.194,0.892,0.009,0.0
0.047,0.001,0.2,0.884,0.005,0.0
0.015,0.073,0.21,0.892,0.0,0.0
0.05,0.099,0.225,0.94,0.0,0.0
0.039,0.022,0.234,0.936,0.0,0.0
0.059,0.132,0.223,0.911,0.0,0.0
0.012,0.074,0.206,0.863,0.0,0.0
0.03,0.122,0.172,0.84,0.0,0.0
0.053,0.041,0.118,0.833,0.0,0.0
0.047,0.017,0.113,0.786,0.0,0.0
0.005,0.023,0.147,0.749,0.0,0.0
0.048,0.033,0.15,0.728,0.0,0.005
0.101,0.022,0.157,0.712,0.0,0.005
0.019,0.043,0.174,0.704,0.0,0.03
0.013,0.042,0.218,0.707,0.0,0.0
0.001,0.035,0.299,0.731,0.0,0.083
0.031,0.033,0.354,0.798,0.0,0.005
0.029,0.019,0.332,0.886,0.0,0.005
0.032,0.326,0.306,0.91,0.014,0.005
0.071,0.064,0.285,0.903,0.03,0.005
0.06,0.071,0.263,0.909,0.041,0.0
0.091,0.223,0.25,0.916,0.05,0.0
0.11,0.12,0.244,0.91,0.06,0.0
0.049,0.091,0.244,0.903,0.048,0.0
0.015,0.165,0.247,0.895,0.032,0.005
0.026,0.236,0.254,0.891,0.014,0.005
0.06,0.189,0.268,0.907,0.0,0.0
0.013,0.166,0.286,0.953,0.0,0.005
0.024,0.242,0.297,0.943,0.0,0.005
0.041,0.071,0.284,0.912,0.0,0.005
0.029,0.215,0.263,0.861,0.0,0.03
0.021,0.323,0.218,0.837,0.0,0.03
0.052,0.005,0.151,0.824,0.0,0.029
0.069,0.011,0.144,0.77,0.0,0.029
0.018,0.002,0.166,0.732,0.0,0.082
0.011,0.022,0.17,0.705,0.0,0.029
0.018,0.044,0.177,0.687,0.0,0.029
0.018,0.041,0.19,0.681,0.0,0.082
0.004,0.026,0.224,0.687,0.0,0.082
0.092,0.027,0.296,0.707,0.0,0.029
0.01,0.04,0.347,0.779,0.0,0.029
0.065,0.011,0.335,0.87,0.0,0.082
0.075,0.204,0.316,0.899,0.007,0.029
0.069,0.232,0.298,0.895,0.021,0.029
0.117,0.167,0.277,0.903,0.026,0.029
0.02,0.015,0.264,0.912,0.032,0.029
0.009,0.101,0.256,0.905,0.018,0.029
0.062,0.206,0.255,0.899,0.016,0.029
0.044,0.173,0.259,0.889,0.009,0.029
0.053,0.087,0.268,0.881,0.002,0.081
0.008,0.111,0.278,0.89,0.0,0.029
0.054,0.115,0.293,0.931,0.0,0.005
0.044,0.103,0.306,0.926,0.0,0.005
0.062,0.219,0.295,0.901,0.0,0.0
0.039,0.094,0.275,0.856,0.0,0.0
0.082,0.064,0.236,0.83,0.0,0.0
0.08,0.028,0.169,0.817,0.0,0.0
0.028,0.026,0.163,0.765,0.0,0.0
0.047,0.019,0.115,0.722,0.0,0.0
0.041,0.023,0.118,0.702,0.0,0.0
0.037,0.01,0.123,0.688,0.0,0.0
0.043,0.003,0.137,0.682,0.0,0.005
0.001,0.038,0.171,0.69,0.0,0.029
0.037,0.043,0.235,0.71,0.0,0.0
0.054,0.004,0.278,0.782,0.0,0.0
0.076,0.016,0.261,0.871,0.0,0.005
0.049,0.111,0.241,0.901,0.007,0.005
0.032,0.194,0.224,0.899,0.027,0.005
0.044,0.087,0.207,0.907,0.053,0.005
0.038,0.152,0.197,0.909,0.074,0.005
0.059,0.202,0.191,0.9,0.06,0.005
0.073,0.092,0.192,0.882,0.03,0.005
0.03,0.171,0.194,0.863,0.036,0.005
0.067,0.002,0.2,0.853,0.007,0.0
0.025,0.065,0.21,0.868,0.0,0.005
0.041,0.021,0.225,0.926,0.0,0.005
0.046,0.013,0.234,0.922,0.0,0.029
0.029,0.083,0.223,0.886,0.0,0.005
0.038,0.182,0.206,0.831,0.0,0.005
0.019,0.114,0.172,0.811,0.0,0.005
0.025,0.033,0.118,0.814,0.0,0.029
0.034,0.033,0.113,0.781,0.0,0.029
0.03,0.041,0.124,0.751,0.0,0.03
0.056,0.036,0.126,0.729,0.0,0.005
0.052,0.012,0.132,0.713,0.0,0.03
0.014,0.023,0.147,0.694,0.0,0.005
0.041,0.017,0.183,0.679,0.0,0.005
0.066,0.033,0.252,0.657,0.0,0.03
0.0,0.03,0.298,0.631,0.0,0.005
0.051,0.022,0.279,0.665,0.0,0.03
0.023,0.164,0.258,0.707,0.052,0.005
0.092,0.081,0.24,0.743,0.198,0.03
0.071,0.088,0.221,0.765,0.236,0.005
0.016,0.162,0.211,0.776,0.298,0.03
0.013,0.136,0.205,0.768,0.394,0.005
0.031,0.07,0.205,0.742,0.353,0.005
0.018,0.105,0.208,0.72,0.06,0.03
0.024,0.214,0.214,0.714,0.023,0.0
0.041,0.125,0.225,0.73,0.0,0.03
0.059,0.213,0.241,0.805,0.0,0.03
0.054,0.068,0.25,0.815,0.0,0.186
0.041,0.084,0.239,0.785,0.0,0.082
0.109,0.04,0.221,0.74,0.0,0.03
0.02,0.201,0.184,0.726,0.0,0.083
0.03,0.024,0.127,0.746,0.0,0.187
0.0,0.006,0.121,0.717,0.0,0.083
0.022,0.011,0.14,0.686,0.0,0.187
0.004,0.032,0.142,0.659,0.0,0.083
0.046,0.004,0.149,0.643,0.0,0.03
0.002,0.007,0.165,0.629,0.0,0.03
0.049,0.0,0.207,0.617,0.0,0.083
0.045,0.013,0.284,0.591,0.0,0.083
0.033,0.038,0.336,0.545,0.0,0.03
0.005,0.008,0.315,0.556,0.0,0.083
0.159,0.069,0.291,0.598,0.06,0.03
0.075,0.04,0.271,0.648,0.235,0.083
0.123,0.087,0.25,0.685,0.395,0.082
0.015,0.09,0.238,0.719,0.495,0.029
0.031,0.193,0.231,0.706,0.526,0.029
0.061,0.042,0.231,0.677,0.505,0.081
0.039,0.216,0.234,0.657,0.044,0.081
0.036,0.131,0.241,0.649,0.021,0.029
0.019,0.264,0.254,0.668,0.0,0.029
0.035,0.233,0.271,0.75,0.0,0.082
0.022,0.186,0.282,0.779,0.0,0.029
0.035,0.292,0.269,0.767,0.0,0.082
0.038,0.302,0.249,0.741,0.0,0.082
0.017,0.022,0.207,0.741,0.0,0.082
0.0,0.018,0.143,0.767,0.0,0.082
0.016,0.016,0.137,0.738,0.0,0.03
0.047,0.026,0.14,0.712,0.0,0.03
0.072,0.014,0.142,0.696,0.0,0.083
0.031,0.036,0.149,0.679,0.0,0.083
0.013,0.037,0.165,0.666,0.0,0.083
0.025,0.003,0.207,0.668,0.0,0.03
0.004,0.004,0.284,0.706,0.0,0.083
0.041,0.02,0.336,0.788,0.0,0.03
0.041,0.021,0.315,0.885,0.0,0.083
0.081,0.078,0.291,0.908,0.06,0.03
0.013,0.165,0.271,0.906,0.241,0.03
0.032,0.164,0.25,0.909,0.393,0.005
0.073,0.095,0.238,0.911,0.479,0.0
0.038,0.081,0.231,0.907,0.497,0.0
0.074,0.155,0.231,0.901,0.163,0.0
0.044,0.016,0.234,0.89,0.03,0.0
0.005,0.251,0.241,0.879,0.009,0.0
0.008,0.255,0.254,0.876,0.0,0.005
0.02,0.091,0.271,0.938,0.0,0.005
0.003,0.035,0.282,0.943,0.0,0.029
0.014,0.205,0.269,0.917,0.0,0.005
0.053,0.295,0.249,0.874,0.0,0.029
0.023,0.199,0.207,0.845,0.0,0.029
0.07,0.011,0.143,0.835,0.0,0.029
0.057,0.029,0.137,0.789,0.0,0.005
0.04,0.044,0.132,0.753,0.0,0.029
0.021,0.022,0.135,0.733,0.0,0.029
0.036,0.019,0.141,0.717,0.0,0.029
0.046,0.021,0.156,0.708,0.0,0.029
0.039,0.042,0.195,0.711,0.0,0.029
0.009,0.008,0.268,0.734,0.0,0.029
0.016,0.016,0.318,0.804,0.0,0.005
0.058,0.0,0.297,0.897,0.0,0.029
0.031,0.252,0.275,0.921,0.026,0.029
0.045,0.142,0.256,0.922,0.153,0.029
0.049,0.025,0.236,0.931,0.239,0.081
0.008,0.19,0.224,0.94,0.337,0.081
0.037,0.178,0.218,0.936,0.376,0.029
0.051,0.083,0.219,0.929,0.137,0.029
0.011,0.18,0.221,0.923,0.069,0.029
0.124,0.126,0.228,0.92,0.037,0.005
0.018,0.271,0.24,0.921,0.0,0.081
0.046,0.087,0.256,0.958,0.0,0.029
0.051,0.108,0.267,0.95,0.0,0.184
0.024,0.34,0.254,0.921,0.0,0.081
0.022,0.039,0.236,0.87,0.0,0.029
0.049,0.264,0.196,0.845,0.0,0.029
0.029,0.045,0.135,0.824,0.0,0.029
0.031,0.038,0.129,0.769,0.0,0.029
0.01,0.036,0.124,0.728,0.0,0.029
0.034,0.005,0.126,0.705,0.0,0.081
0.04,0.03,0.132,0.689,0.0,0.029
0.029,0.019,0.147,0.687,0.0,0.029
0.044,0.032,0.183,0.702,0.0,0.029
0.032,0.038,0.252,0.73,0.0,0.029
0.041,0.02,0.298,0.805,0.0,0.029
0.049,0.02,0.279,0.89,0.0,0.029
0.076,0.148,0.258,0.912,0.026,0.081
0.07,0.211,0.24,0.907,0.133,0.029
0.064,0.22,0.221,0.918,0.13,0.029
0.013,0.0,0.211,0.931,0.122,0.029
0.125,0.109,0.205,0.919,0.122,0.029
0.04,0.182,0.205,0.912,0.044,0.08
0.041,0.131,0.208,0.903,0.018,0.08
0.046,0.259,0.214,0.896,0.005,0.08
