Cap_do,Cap_up,demand_th,demand_el,pv,wind
0.08,0.041,0.064,0.872,0.22,0.028
0.062,0.199,0.056,0.857,0.279,0.078
0.019,0.097,0.053,0.845,0.671,0.028
0.026,0.079,0.05,0.829,0.351,0.078
0.058,0.028,0.049,0.811,0.37,0.028
0.027,0.151,0.052,0.789,0.371,0.078
0.037,0.093,0.061,0.782,0.177,0.077
0.028,0.039,0.068,0.782,0.05,0.028
0.011,0.095,0.076,0.786,0.016,0.028
0.015,0.225,0.074,0.797,0.0,0.005
0.031,0.134,0.065,0.775,0.0,0.028
0.031,0.254,0.052,0.748,0.0,0.028
0.015,0.023,0.043,0.682,0.0,0.028
0.041,0.032,0.04,0.634,0.0,0.079
0.023,0.031,0.038,0.606,0.0,0.079
0.045,0.01,0.038,0.596,0.0,0.08
0.053,0.017,0.043,0.6,0.0,0.028
0.008,0.006,0.056,0.618,0.0,0.079
0.039,0.005,0.076,0.651,0.0,0.029
0.024,0.032,0.097,0.722,0.021,0.0
0.005,0.04,0.092,0.79,0.128,0.0
0.027,0.044,0.082,0.837,0.294,0.0
0.012,0.066,0.076,0.853,0.505,0.0
0.087,0.11,0.069,0.873,0.665,0.0
0.115,0.155,0.064,0.885,0.295,0.0
0.089,0.027,0.056,0.871,0.242,0.0
0.094,0.13,0.053,0.857,0.214,0.005
0.005,0.156,0.05,0.842,0.163,0.0
0.008,0.012,0.049,0.822,0.164,0.0
0.008,0.017,0.052,0.802,0.121,0.0
0.035,0.229,0.061,0.797,0.087,0.0
0.03,0.082,0.068,0.792,0.032,0.0
0.006,0.171,0.076,0.789,0.014,0.0
0.041,0.049,0.074,0.797,0.0,0.005
0.003,0.097,0.065,0.783,0.0,0.005
0.044,0.091,0.052,0.756,0.0,0.005
0.054,0.007,0.043,0.696,0.0,0.005
0.038,0.043,0.04,0.65,0.0,0.005
0.006,0.015,0.048,0.617,0.0,0.005
0.007,0.027,0.049,0.607,0.0,0.005
0.022,0.003,0.056,0.613,0.0,0.005
0.015,0.025,0.073,0.632,0.0,0.005
0.02,0.009,0.11,0.661,0.0,0.005
0.04,0.041,0.144,0.723,0.005,0.005
0.04,0.001,0.136,0.783,0.054,0.028
0.037,0.006,0.123,0.826,0.169,0.0
0.008,0.069,0.109,0.843,0.408,0.0
0.086,0.15,0.098,0.862,0.621,0.005
0.049,0.109,0.09,0.881,0.75,0.0
0.004,0.152,0.082,0.872,0.076,0.005
0.061,0.148,0.077,0.858,0.081,0.0
0.015,0.065,0.073,0.845,0.184,0.005
0.012,0.123,0.075,0.834,0.186,0.005
0.021,0.084,0.081,0.813,0.263,0.0
0.055,0.064,0.094,0.802,0.221,0.0
0.023,0.243,0.107,0.8,0.051,0.0
0.001,0.027,0.115,0.791,0.009,0.005
0.046,0.006,0.11,0.781,0.0,0.028
0.015,0.152,0.095,0.75,0.0,0.077
0.088,0.225,0.069,0.719,0.0,0.077
0.006,0.018,0.052,0.664,0.0,0.077
0.042,0.038,0.049,0.62,0.0,0.077
0.04,0.027,0.054,0.587,0.0,0.077
0.122,0.021,0.055,0.571,0.0,0.077
0.037,0.027,0.063,0.563,0.0,0.077
0.032,0.01,0.082,0.566,0.0,0.028
0.016,0.013,0.124,0.551,0.0,0.078
0.044,0.013,0.161,0.518,0.009,0.028
0.067,0.034,0.153,0.53,0.074,0.077
0.044,0.004,0.138,0.569,0.222,0.0
0.004,0.011,0.123,0.614,0.442,0.027
0.075,0.14,0.11,0.65,0.717,0.075
0.105,0.035,0.101,0.687,0.84,0.17
0.063,0.11,0.092,0.683,0.729,0.027
0.087,0.178,0.087,0.651,0.667,0.027
0.054,0.023,0.082,0.626,0.229,0.0
0.04,0.067,0.084,0.604,0.21,0.0
0.015,0.256,0.091,0.591,0.157,0.0
0.028,0.248,0.106,0.599,0.132,0.004
0.03,0.11,0.12,0.61,0.057,0.004
0.005,0.106,0.129,0.613,0.016,0.005
0.005,0.088,0.124,0.626,0.0,0.005
0.0,0.172,0.107,0.635,0.0,0.027
0.052,0.121,0.078,0.636,0.0,0.076
0.009,0.036,0.058,0.593,0.0,0.027
0.026,0.038,0.055,0.544,0.0,0.076
0.009,0.008,0.048,0.522,0.0,0.027
0.011,0.031,0.049,0.513,0.0,0.076
0.035,0.044,0.056,0.515,0.0,0.076
0.045,0.033,0.073,0.524,0.0,0.076
0.035,0.008,0.11,0.524,0.0,0.077
0.046,0.021,0.144,0.507,0.014,0.077
0.001,0.018,0.136,0.535,0.072,0.076
0.007,0.008,0.123,0.585,0.15,0.027
0.007,0.039,0.109,0.623,0.387,0.005
0.023,0.012,0.098,0.636,0.692,0.027
0.03,0.046,0.09,0.647,0.642,0.027
0.053,0.037,0.082,0.639,0.854,0.167
0.012,0.154,0.077,0.619,0.704,0.167
0.062,0.069,0.073,0.605,0.523,0.167
0.014,0.117,0.075,0.601,0.555,0.074
0.013,0.068,0.081,0.597,0.402,0.026
0.006,0.132,0.094,0.611,0.189,0.074
0.054,0.05,0.107,0.62,0.063,0.027
0.046,0.074,0.115,0.624,0.018,0.027
0.019,0.051,0.11,0.626,0.0,0.027
0.004,0.015,0.095,0.618,0.0,0.027
0.064,0.168,0.069,0.608,0.0,0.076
0.013,0.015,0.052,0.565,0.0,0.027
0.022,0.005,0.049,0.516,0.0,0.027
0.01,0.006,0.054,0.48,0.0,0.028
0.014,0.036,0.055,0.46,0.0,0.077
0.024,0.011,0.063,0.451,0.0,0.077
0.046,0.02,0.082,0.458,0.0,0.174
0.037,0.039,0.124,0.462,0.0,0.077
0.05,0.025,0.161,0.441,0.026,0.077
0.001,0.007,0.153,0.457,0.118,0.077
0.034,0.017,0.138,0.508,0.234,0.076
0.052,0.018,0.123,0.552,0.441,0.076
0.08,0.021,0.11,0.584,0.67,0.027
0.072,0.004,0.101,0.618,0.836,0.168
0.075,0.05,0.092,0.599,0.872,0.466
0.048,0.091,0.087,0.56,0.813,0.465
0.069,0.033,0.082,0.54,0.635,0.296
0.053,0.071,0.084,0.525,0.593,0.463
0.057,0.081,0.091,0.513,0.335,0.167
0.006,0.069,0.106,0.52,0.177,0.297
0.026,0.101,0.12,0.549,0.064,0.168
0.033,0.08,0.129,0.561,0.018,0.3
0.009,0.175,0.124,0.584,0.0,0.169
0.036,0.066,0.107,0.597,0.0,0.17
0.013,0.072,0.078,0.595,0.0,0.17
0.002,0.005,0.058,0.555,0.0,0.027
0.043,0.035,0.055,0.506,0.0,0.027
0.002,0.014,0.088,0.472,0.0,0.027
0.051,0.005,0.091,0.454,0.0,0.005
0.039,0.028,0.097,0.453,0.0,0.076
0.013,0.018,0.112,0.465,0.0,0.027
0.02,0.004,0.153,0.471,0.0,0.076
0.047,0.032,0.204,0.452,0.012,0.076
0.023,0.0,0.226,0.461,0.094,0.076
0.0,0.016,0.212,0.502,0.236,0.076
0.019,0.085,0.19,0.543,0.45,0.027
0.046,0.014,0.173,0.574,0.661,0.075
0.053,0.123,0.158,0.608,0.833,0.074
0.056,0.084,0.148,0.598,0.861,0.167
0.045,0.115,0.142,0.572,0.579,0.167
0.026,0.002,0.141,0.546,0.414,0.166
0.001,0.124,0.143,0.542,0.431,0.295
0.029,0.127,0.149,0.54,0.292,0.167
0.047,0.086,0.162,0.553,0.199,0.167
0.013,0.153,0.175,0.573,0.066,0.167
0.0,0.0,0.184,0.58,0.021,0.169
0.051,0.065,0.176,0.6,0.0,0.027
0.02,0.036,0.16,0.615,0.0,0.027
0.028,0.019,0.128,0.621,0.0,0.027
0.044,0.024,0.092,0.581,0.0,0.027
0.046,0.011,0.087,0.536,0.0,0.005
0.033,0.009,0.081,0.51,0.0,0.028
0.047,0.037,0.083,0.509,0.0,0.028
0.025,0.014,0.088,0.516,0.0,0.005
0.028,0.02,0.102,0.543,0.0,0.005
0.052,0.034,0.139,0.59,0.0,0.028
0.06,0.037,0.186,0.669,0.037,0.028
0.006,0.013,0.205,0.742,0.107,0.028
0.02,0.044,0.193,0.789,0.276,0.005
0.076,0.08,0.173,0.811,0.471,0.005
0.094,0.157,0.157,0.83,0.694,0.005
0.146,0.1,0.144,0.849,0.852,0.004
0.069,0.053,0.135,0.836,0.865,0.027
0.149,0.13,0.13,0.828,0.801,0.074
0.056,0.137,0.128,0.813,0.711,0.074
0.029,0.123,0.13,0.802,0.592,0.074
0.01,0.255,0.135,0.781,0.409,0.027
0.009,0.026,0.147,0.774,0.194,0.027
0.027,0.006,0.16,0.774,0.068,0.074
0.023,0.002,0.167,0.768,0.021,0.027
0.055,0.056,0.16,0.766,0.0,0.027
0.02,0.22,0.145,0.759,0.0,0.076
0.039,0.227,0.117,0.726,0.0,0.076
0.017,0.039,0.084,0.659,0.0,0.027
0.018,0.028,0.079,0.607,0.0,0.028
0.024,0.036,0.054,0.578,0.0,0.077
0.007,0.013,0.055,0.569,0.0,0.028
0.043,0.032,0.063,0.577,0.0,0.028
0.035,0.035,0.082,0.601,0.0,0.078
0.026,0.016,0.124,0.64,0.0,0.078
0.003,0.018,0.161,0.701,0.033,0.078
0.034,0.001,0.153,0.768,0.137,0.028
0.016,0.037,0.138,0.809,0.112,0.028
0.032,0.12,0.123,0.819,0.337,0.077
0.015,0.249,0.11,0.829,0.355,0.028
0.088,0.054,0.101,0.843,0.898,0.172
0.0,0.026,0.092,0.831,0.89,0.171
0.01,0.101,0.087,0.818,0.834,0.475
0.118,0.064,0.082,0.802,0.706,0.17
0.004,0.156,0.084,0.787,0.602,0.17
0.026,0.153,0.091,0.767,0.432,0.302
0.012,0.038,0.106,0.764,0.196,0.303
0.014,0.051,0.12,0.767,0.062,0.305
0.018,0.045,0.129,0.766,0.024,0.307
0.033,0.043,0.124,0.769,0.0,0.077
0.007,0.226,0.107,0.762,0.0,0.312
0.041,0.022,0.078,0.727,0.0,0.175
0.072,0.018,0.058,0.657,0.0,0.313
0.004,0.043,0.055,0.608,0.0,0.314
0.029,0.017,0.043,0.58,0.0,0.494
0.038,0.004,0.044,0.569,0.0,0.496
0.033,0.039,0.049,0.575,0.0,0.317
0.005,0.013,0.065,0.597,0.0,0.499
0.066,0.044,0.098,0.643,0.0,0.18
0.024,0.031,0.127,0.702,0.049,0.18
0.012,0.041,0.121,0.765,0.193,0.18
0.0,0.008,0.109,0.803,0.378,0.318
0.096,0.181,0.097,0.811,0.588,0.495
0.031,0.094,0.087,0.826,0.776,0.177
0.029,0.167,0.08,0.843,0.92,0.489
0.105,0.154,0.073,0.83,0.917,0.31
0.048,0.047,0.069,0.816,0.898,0.31
0.013,0.044,0.065,0.801,0.808,0.485
0.057,0.1,0.066,0.781,0.669,0.173
0.035,0.208,0.072,0.763,0.467,0.485
0.048,0.052,0.084,0.76,0.224,0.174
0.024,0.042,0.095,0.763,0.049,0.312
0.045,0.218,0.102,0.761,0.021,0.315
0.046,0.08,0.098,0.77,0.0,0.318
0.012,0.029,0.085,0.762,0.0,0.18
0.039,0.173,0.061,0.721,0.0,0.08
0.018,0.038,0.046,0.651,0.0,0.029
0.017,0.039,0.043,0.599,0.0,0.029
0.006,0.034,0.043,0.569,0.0,0.005
0.019,0.035,0.044,0.556,0.0,0.029
0.038,0.036,0.049,0.561,0.0,0.029
0.033,0.008,0.065,0.582,0.0,0.029
0.019,0.024,0.098,0.626,0.0,0.029
0.001,0.045,0.127,0.695,0.05,0.029
0.037,0.012,0.121,0.765,0.193,0.029
0.076,0.036,0.109,0.805,0.387,0.005
0.01,0.079,0.097,0.815,0.586,0.0
0.059,0.127,0.087,0.826,0.784,0.0
0.043,0.074,0.08,0.839,0.913,0.0
0.092,0.063,0.073,0.824,0.937,0.0
0.002,0.14,0.069,0.799,0.885,0.0
0.04,0.086,0.065,0.774,0.804,0.078
0.047,0.091,0.066,0.755,0.669,0.005
0.011,0.134,0.072,0.74,0.467,0.078
0.022,0.083,0.084,0.74,0.21,0.005
0.052,0.059,0.095,0.741,0.062,0.028
0.003,0.148,0.102,0.733,0.033,0.005
0.054,0.111,0.098,0.737,0.0,0.005
0.001,0.143,0.085,0.732,0.0,0.0
0.003,0.009,0.061,0.695,0.0,0.005
0.046,0.04,0.046,0.633,0.0,0.08
0.002,0.002,0.043,0.586,0.0,0.08
0.012,0.032,0.038,0.552,0.0,0.029
0.02,0.03,0.038,0.535,0.0,0.08
0.025,0.026,0.043,0.529,0.0,0.029
0.033,0.002,0.056,0.537,0.0,0.08
0.009,0.018,0.076,0.549,0.0,0.08
0.029,0.026,0.097,0.558,0.043,0.029
0.039,0.029,0.092,0.599,0.185,0.005
0.054,0.001,0.082,0.653,0.378,0.005
0.086,0.092,0.076,0.691,0.574,0.005
0.054,0.175,0.069,0.709,0.767,0.005
0.026,0.192,0.064,0.724,0.92,0.077
0.031,0.144,0.056,0.704,0.953,0.175
0.005,0.196,0.053,0.672,0.683,0.174
0.065,0.15,0.05,0.644,0.675,0.077
0.051,0.115,0.049,0.633,0.534,0.028
0.056,0.046,0.052,0.622,0.452,0.028
0.009,0.18,0.061,0.633,0.182,0.028
0.06,0.174,0.068,0.641,0.06,0.005
0.006,0.09,0.076,0.643,0.03,0.005
0.063,0.171,0.074,0.644,0.0,0.005
0.029,0.203,0.065,0.644,0.0,0.005
0.07,0.185,0.052,0.627,0.0,0.005
0.011,0.01,0.043,0.579,0.0,0.028
0.029,0.045,0.04,0.532,0.0,0.079
0.018,0.015,0.054,0.496,0.0,0.079
0.017,0.004,0.055,0.48,0.0,0.079
0.016,0.016,0.063,0.48,0.0,0.08
0.029,0.012,0.082,0.488,0.0,0.08
0.041,0.005,0.124,0.49,0.0,0.08
0.012,0.01,0.161,0.467,0.046,0.08
0.037,0.022,0.153,0.488,0.187,0.079
0.013,0.012,0.138,0.533,0.364,0.028
0.045,0.089,0.123,0.578,0.571,0.176
0.04,0.123,0.11,0.61,0.738,0.077
0.032,0.152,0.101,0.642,0.762,0.005
0.034,0.204,0.092,0.627,0.936,0.005
0.017,0.024,0.087,0.587,0.648,0.028
0.035,0.094,0.082,0.563,0.642,0.028
0.008,0.097,0.084,0.546,0.425,0.028
0.02,0.047,0.091,0.544,0.358,0.005
0.064,0.171,0.106,0.559,0.187,0.077
0.052,0.182,0.12,0.587,0.058,0.077
0.035,0.075,0.129,0.597,0.026,0.175
0.03,0.18,0.124,0.619,0.0,0.176
0.002,0.174,0.107,0.638,0.0,0.078
0.069,0.087,0.078,0.63,0.0,0.078
0.051,0.033,0.058,0.576,0.0,0.079
0.003,0.042,0.055,0.537,0.0,0.028
0.045,0.015,0.06,0.513,0.0,0.079
0.045,0.013,0.062,0.509,0.0,0.079
0.001,0.013,0.07,0.518,0.0,0.079
0.038,0.019,0.092,0.545,0.0,0.18
0.004,0.024,0.139,0.601,0.0,0.18
0.044,0.009,0.18,0.695,0.053,0.18
0.018,0.018,0.171,0.77,0.195,0.319
0.092,0.022,0.154,0.812,0.381,0.316
0.026,0.09,0.137,0.82,0.573,0.176
0.006,0.036,0.123,0.833,0.763,0.486
0.055,0.08,0.113,0.85,0.907,0.173
0.059,0.137,0.103,0.837,0.921,0.173
0.082,0.193,0.097,0.828,0.852,0.172
0.012,0.172,0.092,0.809,0.754,0.172
0.047,0.202,0.094,0.792,0.621,0.027
0.012,0.212,0.102,0.767,0.441,0.172
0.021,0.198,0.118,0.76,0.213,0.172
0.052,0.036,0.134,0.761,0.059,0.172
0.02,0.187,0.145,0.755,0.03,0.173
0.077,0.017,0.138,0.757,0.0,0.175
0.082,0.213,0.12,0.762,0.0,0.311
0.023,0.083,0.087,0.707,0.0,0.313
0.012,0.022,0.065,0.634,0.0,0.313
0.012,0.006,0.061,0.589,0.0,0.314
0.065,0.031,0.048,0.562,0.0,0.315
0.054,0.02,0.049,0.548,0.0,0.315
0.003,0.03,0.056,0.552,0.0,0.315
0.022,0.039,0.073,0.575,0.0,0.628
0.036,0.0,0.11,0.623,0.0,0.314
0.034,0.009,0.144,0.713,0.037,0.494
0.028,0.0,0.136,0.785,0.077,0.493
0.056,0.028,0.123,0.82,0.159,0.314
0.054,0.285,0.109,0.823,0.333,0.488
0.035,0.175,0.098,0.834,0.381,0.175
0.071,0.191,0.09,0.847,0.649,0.616
0.094,0.184,0.082,0.837,0.459,0.482
0.01,0.136,0.077,0.825,0.503,0.612
0.001,0.009,0.073,0.811,0.521,0.171
0.011,0.037,0.075,0.796,0.233,0.306
0.015,0.255,0.081,0.777,0.193,0.076
0.013,0.039,0.094,0.773,0.189,0.075
0.022,0.052,0.107,0.769,0.105,0.477
0.05,0.193,0.115,0.767,0.037,0.306
0.02,0.161,0.11,0.765,0.0,0.076
0.023,0.208,0.095,0.753,0.0,0.173
0.034,0.27,0.069,0.702,0.0,0.174
0.038,0.035,0.052,0.631,0.0,0.174
0.006,0.003,0.049,0.578,0.0,0.175
0.013,0.043,0.054,0.549,0.0,0.175
0.046,0.043,0.055,0.535,0.0,0.176
0.085,0.006,0.063,0.541,0.0,0.176
0.026,0.036,0.082,0.56,0.0,0.078
0.022,0.041,0.124,0.615,0.0,0.178
0.047,0.003,0.161,0.708,0.053,0.028
0.027,0.038,0.153,0.787,0.201,0.177
0.03,0.006,0.138,0.827,0.384,0.028
0.034,0.195,0.123,0.836,0.562,0.0
0.131,0.078,0.11,0.852,0.768,0.005
0.027,0.052,0.101,0.87,0.898,0.027
0.105,0.158,0.092,0.855,0.884,0.027
0.068,0.059,0.087,0.843,0.843,0.005
0.039,0.117,0.082,0.826,0.745,0.027
0.054,0.231,0.084,0.81,0.587,0.027
0.065,0.007,0.091,0.79,0.436,0.005
0.014,0.28,0.106,0.789,0.204,0.005
0.007,0.028,0.12,0.791,0.069,0.0
0.014,0.283,0.129,0.781,0.03,0.0
0.034,0.111,0.124,0.775,0.0,0.0
0.025,0.202,0.107,0.762,0.0,0.005
0.011,0.022,0.078,0.711,0.0,0.077
0.009,0.024,0.058,0.636,0.0,0.0
0.005,0.01,0.055,0.583,0.0,0.028
0.018,0.043,0.054,0.555,0.0,0.028
0.009,0.013,0.055,0.544,0.0,0.028
0.021,0.028,0.063,0.547,0.0,0.028
0.001,0.018,0.082,0.569,0.0,0.005
0.037,0.008,0.124,0.617,0.0,0.005
0.041,0.043,0.161,0.71,0.018,0.028
0.049,0.003,0.153,0.793,0.077,0.028
0.011,0.006,0.138,0.83,0.136,0.028
0.047,0.065,0.123,0.839,0.073,0.077
0.12,0.04,0.11,0.852,0.092,0.028
0.025,0.108,0.101,0.869,0.19,0.0
0.006,0.098,0.092,0.85,0.168,0.005
0.014,0.158,0.087,0.848,0.206,0.077
0.087,0.179,0.082,0.831,0.467,0.027
0.017,0.035,0.084,0.818,0.309,0.005
0.009,0.016,0.091,0.799,0.046,0.077
0.041,0.187,0.106,0.797,0.133,0.005
0.023,0.141,0.12,0.794,0.067,0.486
0.037,0.155,0.129,0.788,0.042,0.175
0.032,0.109,0.124,0.777,0.0,0.488
0.024,0.132,0.107,0.763,0.0,0.313
0.028,0.02,0.078,0.718,0.0,0.177
0.037,0.043,0.058,0.654,0.0,0.078
0.017,0.032,0.055,0.597,0.0,0.079
0.002,0.037,0.043,0.566,0.0,0.178
0.044,0.045,0.044,0.551,0.0,0.079
0.026,0.006,0.049,0.558,0.0,0.079
0.025,0.013,0.065,0.583,0.0,0.079
0.0,0.025,0.098,0.629,0.002,0.079
0.03,0.015,0.127,0.715,0.053,0.179
0.037,0.008,0.121,0.791,0.137,0.178
0.014,0.017,0.109,0.83,0.286,0.177
0.006,0.045,0.097,0.835,0.551,0.176
0.069,0.038,0.087,0.844,0.767,0.175
0.028,0.097,0.08,0.857,0.876,0.309
0.057,0.08,0.073,0.839,0.969,0.308
0.015,0.122,0.069,0.816,0.691,0.307
0.012,0.115,0.065,0.798,0.677,0.307
0.028,0.075,0.066,0.778,0.506,0.173
0.049,0.017,0.072,0.764,0.442,0.076
0.024,0.019,0.084,0.766,0.221,0.076
0.029,0.08,0.095,0.765,0.06,0.076
0.006,0.024,0.102,0.757,0.031,0.005
0.035,0.064,0.098,0.747,0.002,0.005
0.032,0.139,0.085,0.741,0.0,0.028
0.028,0.028,0.061,0.707,0.0,0.028
0.008,0.022,0.046,0.65,0.0,0.078
0.039,0.045,0.043,0.603,0.0,0.079
0.007,0.032,0.038,0.565,0.0,0.079
0.035,0.019,0.038,0.546,0.0,0.079
0.042,0.021,0.043,0.55,0.0,0.079
0.022,0.012,0.056,0.561,0.0,0.18
0.029,0.021,0.076,0.562,0.007,0.18
0.055,0.005,0.097,0.56,0.082,0.079
0.004,0.038,0.092,0.6,0.146,0.079
0.029,0.031,0.082,0.653,0.353,0.005
0.052,0.01,0.076,0.691,0.587,0.028
0.036,0.077,0.069,0.71,0.791,0.028
0.024,0.054,0.064,0.721,0.779,0.076
0.005,0.078,0.056,0.703,0.638,0.005
0.002,0.022,0.053,0.672,0.543,0.027
0.021,0.087,0.05,0.648,0.419,0.027
0.044,0.121,0.049,0.638,0.286,0.005
0.031,0.021,0.052,0.632,0.207,0.027
0.027,0.098,0.061,0.645,0.121,0.005
0.002,0.174,0.068,0.653,0.036,0.005
0.034,0.011,0.076,0.653,0.016,0.027
0.016,0.017,0.074,0.643,0.0,0.02
0.033,0.095,0.065,0.651,0.0,0.028
0.007,0.021,0.052,0.639,0.0,0.028
0.035,0.024,0.043,0.597,0.0,0.037
0.03,0.032,0.04,0.543,0.0,0.054
0.046,0.018,0.038,0.51,0.0,0.078
0.036,0.042,0.039,0.496,0.0,0.096
0.031,0.035,0.044,0.496,0.0,0.115
0.043,0.02,0.057,0.501,0.0,0.122
0.024,0.045,0.087,0.495,0.007,0.109
0.014,0.007,0.113,0.472,0.059,0.18
0.01,0.005,0.107,0.489,0.148,0.028
0.001,0.013,0.096,0.532,0.214,0.028
0.042,0.151,0.086,0.573,0.354,0.005
0.078,0.034,0.077,0.602,0.633,0.028
0.074,0.102,0.071,0.639,0.904,0.028
0.015,0.131,0.065,0.621,0.935,0.028
0.08,0.023,0.061,0.585,0.822,0.005
0.033,0.054,0.058,0.559,0.675,0.027
0.022,0.095,0.059,0.545,0.51,0.005
0.014,0.02,0.064,0.537,0.263,0.005
0.055,0.016,0.074,0.552,0.162,0.027
0.043,0.067,0.084,0.574,0.106,0.005
0.003,0.008,0.091,0.577,0.036,0.005
0.011,0.075,0.087,0.579,0.002,0.005
0.011,0.156,0.075,0.6,0.0,0.028
0.049,0.195,0.054,0.596,0.0,0.175
0.002,0.026,0.041,0.555,0.0,0.078
0.031,0.016,0.038,0.511,0.0,0.176
0.034,0.003,0.038,0.483,0.0,0.028
0.016,0.019,0.039,0.467,0.0,0.028
0.041,0.014,0.044,0.466,0.0,0.028
0.024,0.018,0.057,0.471,0.0,0.028
0.022,0.039,0.087,0.468,0.005,0.028
0.002,0.026,0.113,0.445,0.055,0.028
0.023,0.033,0.107,0.458,0.139,0.028
0.033,0.032,0.096,0.5,0.358,0.078
0.012,0.094,0.086,0.537,0.416,0.028
0.158,0.097,0.077,0.561,0.741,0.005
0.057,0.223,0.071,0.582,0.893,0.005
0.06,0.164,0.065,0.57,0.878,0.028
0.076,0.085,0.061,0.547,0.814,0.005
0.012,0.113,0.058,0.527,0.61,0.005
0.066,0.124,0.059,0.52,0.386,0.028
0.052,0.077,0.064,0.517,0.332,0.027
0.077,0.057,0.074,0.538,0.228,0.076
0.041,0.181,0.084,0.57,0.093,0.028
0.013,0.263,0.091,0.585,0.044,0.028
0.025,0.255,0.087,0.595,0.005,0.028
0.002,0.048,0.075,0.613,0.0,0.078
0.029,0.044,0.054,0.602,0.0,0.079
0.001,0.023,0.041,0.548,0.0,0.028
0.002,0.018,0.038,0.502,0.0,0.079
0.078,0.044,0.038,0.475,0.0,0.079
0.063,0.023,0.039,0.467,0.0,0.079
0.076,0.01,0.044,0.472,0.0,0.08
0.008,0.031,0.057,0.5,0.0,0.08
0.034,0.025,0.087,0.565,0.007,0.08
0.015,0.042,0.113,0.683,0.074,0.08
0.009,0.01,0.107,0.768,0.222,0.08
0.001,0.032,0.096,0.806,0.404,0.005
0.057,0.203,0.086,0.813,0.589,0.028
0.102,0.245,0.077,0.826,0.801,0.028
0.001,0.087,0.071,0.841,0.907,0.005
0.077,0.096,0.065,0.835,0.934,0.028
0.03,0.173,0.061,0.827,0.888,0.005
0.039,0.051,0.058,0.815,0.791,0.005
0.049,0.321,0.059,0.797,0.647,0.0
0.003,0.066,0.064,0.775,0.45,0.0
0.015,0.283,0.074,0.763,0.21,0.005
0.009,0.187,0.084,0.762,0.085,0.0
0.006,0.055,0.091,0.756,0.045,0.005
0.022,0.243,0.087,0.746,0.007,0.028
0.025,0.222,0.075,0.755,0.0,0.005
0.077,0.037,0.054,0.712,0.0,0.028
0.046,0.012,0.041,0.643,0.0,0.028
0.003,0.031,0.038,0.586,0.0,0.079
0.05,0.04,0.043,0.557,0.0,0.08
0.059,0.043,0.044,0.544,0.0,0.029
0.057,0.033,0.049,0.547,0.0,0.029
0.059,0.001,0.065,0.567,0.0,0.005
0.016,0.032,0.098,0.612,0.007,0.029
0.021,0.003,0.127,0.702,0.076,0.005
0.035,0.016,0.121,0.778,0.224,0.0
0.02,0.029,0.109,0.813,0.403,0.0
0.005,0.061,0.097,0.815,0.588,0.0
0.049,0.158,0.087,0.828,0.76,0.005
0.001,0.156,0.08,0.841,0.887,0.0
0.048,0.101,0.073,0.83,0.92,0.005
0.049,0.153,0.069,0.819,0.864,0.0
0.023,0.186,0.065,0.803,0.754,0.005
0.021,0.17,0.066,0.787,0.65,0.027
0.047,0.208,0.072,0.765,0.463,0.0
0.015,0.009,0.084,0.761,0.216,0.0
0.008,0.221,0.095,0.759,0.065,0.005
0.026,0.179,0.102,0.754,0.033,0.0
0.05,0.231,0.098,0.751,0.005,0.005
0.057,0.047,0.085,0.75,0.0,0.028
0.028,0.089,0.061,0.703,0.0,0.078
0.037,0.012,0.046,0.634,0.0,0.078
0.032,0.007,0.043,0.584,0.0,0.028
0.019,0.003,0.043,0.555,0.0,0.028
0.032,0.016,0.044,0.538,0.0,0.028
0.023,0.002,0.049,0.533,0.0,0.078
0.051,0.002,0.065,0.552,0.0,0.028
0.016,0.024,0.098,0.598,0.007,0.028
0.047,0.041,0.127,0.698,0.065,0.005
0.016,0.022,0.121,0.777,0.2,0.005
0.061,0.005,0.109,0.812,0.29,0.005
0.073,0.142,0.097,0.811,0.497,0.0
0.067,0.11,0.087,0.822,0.678,0.005
0.073,0.065,0.08,0.841,0.919,0.027
0.048,0.113,0.073,0.833,0.934,0.075
0.037,0.007,0.069,0.824,0.876,0.027
0.044,0.04,0.065,0.809,0.736,0.169
0.045,0.133,0.066,0.795,0.561,0.17
0.045,0.117,0.072,0.777,0.387,0.17
0.018,0.217,0.084,0.775,0.23,0.17
0.003,0.162,0.095,0.77,0.108,0.075
0.003,0.118,0.102,0.758,0.042,0.027
0.004,0.207,0.098,0.745,0.007,0.027
0.007,0.054,0.085,0.752,0.0,0.028
0.077,0.03,0.061,0.707,0.0,0.028
0.025,0.039,0.046,0.634,0.0,0.028
0.038,0.043,0.043,0.586,0.0,0.005
0.045,0.044,0.043,0.558,0.0,0.005
0.035,0.022,0.044,0.545,0.0,0.005
0.033,0.033,0.049,0.546,0.0,0.028
0.004,0.025,0.065,0.562,0.0,0.078
0.03,0.04,0.098,0.603,0.009,0.028
0.015,0.018,0.127,0.694,0.08,0.028
0.049,0.011,0.121,0.774,0.215,0.005
0.016,0.012,0.109,0.807,0.343,0.005
0.129,0.016,0.097,0.811,0.545,0.027
0.022,0.032,0.087,0.826,0.732,0.076
0.072,0.118,0.08,0.841,0.92,0.17
0.055,0.157,0.073,0.831,0.893,0.027
0.048,0.129,0.069,0.815,0.803,0.075
0.021,0.078,0.065,0.793,0.713,0.027
0.006,0.144,0.066,0.778,0.624,0.074
0.006,0.071,0.072,0.763,0.411,0.004
